AVAR;RUSSIAN;ENGLISH
акробатикаялъул;АКРОБАТИЧЕСКИЙ;
палугьанлъиялъулаб;АКРОБАТИЧЕСКИЙ;
палугьанчилъиялъулаб;АКРОБАТИЧЕСКИЙ;
акробатка;АКРОБАТКА;
палугьан;АКРОБАТКА;
хехго гIун бачIунеб лъимер;АКСЕЛЕРАТ;
цо гьабураб иш;АКТ;
актерасулаб;АКТЁРСКИЙ;
актерлъиялъулаб;АКТЁРСКИЙ;
актив;АКТИВ;
хIаракатчагIи;АКТИВ;
хIаракат цIикIкIин;АКТИВИЗАЦИЯ;
харакат бахъи;АКТИВИЗАЦИЯ;
хIаракат цIикIкIинабизе;АКТИВИЗИРОВАТЬ;
дагьавги хIаракатавлъун лъугьине;АКТИВИЗИРОВАТЬСЯ;
хIаракат цикIкIине;АКТИВИЗИРОВАТЬСЯ;
хIаракатчи;АКТИВИСТ;
хIаракатчIужу;АКТИВИСТКА;
жигар бахъун;АКТИВНО;
жигаралда;АКТИВНО;
хIаракат бахъун;АКТИВНО;
хIаракат гьабун;АКТИВНО;
жигарлъи;АКТИВНОСТЬ;
жигарчилъи;АКТИВНОСТЬ;
радиацияги кьолаго;АКТИВНОСТЬ;
хIаракат бахъи;АКТИВНОСТЬ;
хIаракатчилъи;АКТИВНОСТЬ;
активияб;АКТИВНЫЙ;
жигараб;АКТИВНЫЙ;
хIаракатаб;АКТИВНЫЙ;
акт гьабизе;АКТИРОВАТЬ;
гьабсагIат къваригIараблъун;АКТУАЛЬНОСТЬ;
ирга щвараблъун букIин;АКТУАЛЬНОСТЬ;
кIвар бугеблъун;АКТУАЛЬНОСТЬ;
гьабсагIат къваригIараб;АКТУАЛЬНЫЙ;
ирга щвараб;АКТУАЛЬНЫЙ;
кIвар бугел масъалаби;АКТУАЛЬНЫЙ;
тIубачIого гIолареб;АКТУАЛЬНЫЙ;
хIакъикъаталда бугеб;АКТУАЛЬНЫЙ;
яшавалде бахъинабизе кIолеб;АКТУАЛЬНЫЙ;
акустика гьаркьил хIакъалъулъ бугеб гIелму;АКУСТИКА;
музыкаялъул рагIулеб даража;АКУСТИКА;
рокъоб гьаркьил;АКУСТИКА;
щибниги бакIалда;АКУСТИКА;
акустикияб;АКУСТИЧЕСКИЙ;
акушерка;АКУШЕРКА;
чIарахъан;АКУШЕРКА;
акушерасул;АКУШЕРСКИЙ;
акушерлъиялъулаб;АКУШЕРСКИЙ;
чIарахъанасул;АКУШЕРСКИЙ;
чIарахъанлъиялъул;АКУШЕРСКИЙ;
акушерлъи;АКУШЕРСТВО;
чIарахъанлъи;АКУШЕРСТВО;
батIаго тIадчIей гьабизе;АКЦЕНТИРОВАТЬ;
кIвар кьезе;АКЦЕНТИРОВАТЬ;
пикру буссинабизе;АКЦЕНТИРОВАТЬ;
ударение лъезе;АКЦЕНТИРОВАТЬ;
акцент бугеб;АКЦЕНТНЫЙ;
акценталъулаб;АКЦЕНТНЫЙ;
ударение бугеб;АКЦЕНТНЫЙ;
акционер;АКЦИОНЕР;
акциязул бетIергьан;АКЦИОНЕР;
акционерияб;АКЦИОНЕРНЫЙ;
акциязда тIад гIуцIараб;АКЦИОНЕРНЫЙ;
акция;АКЦИЯ;
аланал некIсияб цIар;АЛАНЫ;
албаниязул;АЛБАНСКИЙ;
Албаниялъул;АЛБАНСКИЙ;
алгебраялъулаб;АЛГЕБРАИЧЕСКИЙ;
билбагIарлъизе;АЛЕТЬ;
билбагIарлъун бихьизе;АЛЕТЬ;
канчIбагIарлъизе;АЛЕТЬ;
канчIбагIарлъун бихьизе;АЛЕТЬ;
алжирав;АЛЖИРЕЦ;
жазаирав;АЛЖИРЕЦ;
алжирай;АЛЖИРКА;
жазаирай;АЛЖИРКА;
жазаиралъулаб;АЛЖИРСКИЙАЛЖИРАЛЪУЛ;
жазаирияб;АЛЖИРСКИЙАЛЖИРАЛЪУЛ;
алжирал;АЛЖИРЦЫ;
жазаирал;АЛЖИРЦЫ;
алиментал;АЛИМЕНТЫ;
алкоголияб;АЛКОГОЛЬНЫЙ;
спирт гъорлъ бугеб;АЛКОГОЛЬНЫЙ;
Аллагь;АЛЛАХ;
аллегорияб;АЛЛЕГОРИЧЕСКИЙ;
аллегория гъорлъ бугеб;АЛЛЕГОРИЧНЫЙ;
аллергиялъулаб;АЛЛЕРГИЧЕСКИЙ;
аллея;АЛЛЕЯ;
алмаз;АЛМАЗ;
алмас;АЛМАЗ;
алмазалъулаб;АЛМАЗНЫЙ;
алоэ;АЛОЭ;
зазитIегь;АЛОЭ;
зазтIегь;АЛОЭ;
алтаялъулаб;АЛТАЙСКИЙ;
михIраб;АЛТАРЬ;
гIурусазул некIсияб капекалъул монета;АЛТЫН;
алиф;АЛФАВИТ;
алфавит;АЛФАВИТ;
алфавиталъулаб;АЛФАВИТНЫЙ;
бер бахиллъи;АЛЧНОСТЬ;
бер гIорцIунгутIи;АЛЧНОСТЬ;
хъантIи;АЛЧНОСТЬ;
бер бахилаб;АЛЧНЫЙ;
бер гIорцIулареб;АЛЧНЫЙ;
хъантIараб;АЛЧНЫЙ;
билбагIараб;АЛЫЙ;
канчIбагIараб;АЛЫЙ;
гIисинпихъ;АЛЫЧА;
кIолкIона;АЛЫЧА;
кIоркIони;АЛЫЧА;
гIисинпихъалъул;АЛЫЧОВЫЙ;
кIолкIонадул;АЛЫЧОВЫЙ;
кIоркIонидул;АЛЫЧОВЫЙ;
альбом;АЛЬБОМ;
тамахаб хвенех;АЛЬВЕОЛЫ;
чанагъалда гIосокартIал;АЛЬВЕОЛЫ;
рорхатал мугIрузул;АЛЬПИЙСКИЙ;
альпинизмалъулаб;АЛЬПИНИСТСКИЙ;
альпинистазулаб;АЛЬПИНИСТСКИЙ;
альпинистасулаб;АЛЬПИНИСТСКИЙ;
альтист;АЛЬТИСТ;
альтчи;АЛЬТИСТ;
альтруистияб;АЛЬТРУИСТИЧЕСКИЙ;
альфа;АЛЬФА;
алюминиялъул;АЛЮМИНИЕВЫЙ;
жужа-кукараб;АЛЯПОВАТЫЙ;
хашаб;АЛЯПОВАТЫЙ;
чIурканлъи гьечIеб;АЛЯПОВАТЫЙ;
амальгамаялъул тIад хъал гьабизе;АМАЛЬГАМИРОВАТЬ;
лъамамеседги гьоркьобе жубан;АМАЛЬГАМИРОВАТЬ;
лъамамеседги металлги цадахъ биине;АМАЛЬГАМИРОВАТЬ;
рудаялда гьоркьоса месед-гIарац батIа гьабизе;АМАЛЬГАМИРОВАТЬ;
амбар;АМБАР;
нахъарукъ;АМБАР;
амбаралъул;АМБАРНЫЙ;
гIамал кIодолъи;АМБИЦИЯ;
живго жиндиего кIодолъи;АМБИЦИЯ;
чIухIдари;АМБИЦИЯ;
гIамбар;АМБРА;
гьуинмахI;АМБРА;
духабазул махI;АМБРА;
духи;АМБРА;
амбулатория унтаразе дару гьабулеб учреждение;АМБУЛАТОРИЯ;
амбулаториялъулаб;АМБУЛАТОРНЫЙ;
американазул;АМЕРИКАНСКИЙ;
америкаялъулаб;АМЕРИКАНСКИЙ;
аметисталъул;АМЕТИСТОВЫЙ;
амиак;АМИАК;
нашатыралъул спирт;АМИАК;
амнистия гьаби;АМНИСТИРОВАНИЕ;
манапис лъазаби;АМНИСТИРОВАНИЕ;
риччай;АМНИСТИРОВАНИЕ;
тIаса лъугьун;АМНИСТИРОВАНИЕ;
амнистия гьабизе;АМНИСТИРОВАТЬ;
манапис лъазабизе;АМНИСТИРОВАТЬ;
риччазе;АМНИСТИРОВАТЬ;
тIаса лъугьун;АМНИСТИРОВАТЬ;
амнистия;АМНИСТИЯ;
манапис;АМНИСТИЯ;
адаб-хъатир гьечIолъи;АМОРАЛЬНОСТЬ;
къабихIлъи;АМОРАЛЬНОСТЬ;
намус-яхI гьечIолъи;АМОРАЛЬНОСТЬ;
адаб-хъатир гьечIеб;АМОРАЛЬНЫЙ;
къабихIаб;АМОРАЛЬНЫЙ;
хьвада чIвадиялъул тIалабазда данде кколареб;АМОРАЛЬНЫЙ;
амортизациялъулаб;АМОРТИЗАЦИОННЫЙ;
амортизация гьабизе;АМОРТИЗИРОВАТЬ;
амплитуда;АМПЛИТУДА;
ампутация унтараб лага къотIун нахъе рехи;АМПУТАЦИЯ;
ампутация гьабизе;АМПУТИРОВАТЬ;
къотIун нахъе рехизе;АМПУТИРОВАТЬ;
гьайикал;АМУЛЕТ;
сабаб;АМУЛЕТ;
анализ гьабизе;АНАЛИЗИРОВАТЬ;
биххизе;АНАЛИЗИРОВАТЬ;
цIеха-рехон балагьизе;АНАЛИЗИРОВАТЬ;
анализ методалда рекъараб;АНАЛИТИЧЕСКИЙ;
анализалъулаб;АНАЛИТИЧЕСКИЙ;
аналитикияб;АНАЛИТИЧЕСКИЙ;
гьединабго;АНАЛОГИЧНЫЙ;
данде битIун кколеб;АНАЛОГИЧНЫЙ;
релълъараб;АНАЛОГИЧНЫЙ;
цоцада релълъин;АНАЛОГИЯ;
ананасалъул;АНАНАСНЫЙ;
ананасалъулаб;АНАНАСНЫЙ;
ананасовый;АНАНАСНЫЙ;
анархистазул;АНАРХИСТСКИЙ;
анархистияб;АНАРХИСТСКИЙ;
анархия;АНАРХИЯ;
жанире раккизе;АНАТОМИРОВАТЬ;
къаркъала сун;АНАТОМИРОВАТЬ;
анатомиялъулаб;АНАТОМИЧЕСКИЙ;
нагIана;АНАФЕМА;
гьайбатав;АНГЕЛЬСКИЙ;
малаикасулаб;АНГЕЛЬСКИЙ;
ангидрид;АНГИДРИД;
ангина;АНГИНА;
щекъер унти;АНГИНА;
щокърол гарцIал гьорой;АНГИНА;
ингилисазулаб;АНГЛИЙСКИЙ;
ангоралъулаб;АНГОРСКИЙ;
анкаралъулаб;АНГОРСКИЙ;
гIандисев;АНДИЕЦ;
гIандисей;АНДИЙКА;
гIандадерил;АНДИЙСКИЙ;
гIандал;АНДИЙЦЫ;
гIандисел;АНДИЙЦЫ;
анекдот;АНЕКДОТ;
хочI;АНЕКДОТ;
анекдотияб;АНЕКДОТИЧЕСКИЙ;
гIадаб;АНЕКДОТИЧЕСКИЙ;
хочIаб;АНЕКДОТИЧЕСКИЙ;
би дагьаб;АНЕМИЧНЫЙ;
анемия;АНЕМИЯ;
би дагьлъи;АНЕМИЯ;
агълъизабизе;АНЕСТЕЗИРОВАТЬ;
анестезия гьабизе;АНЕСТЕЗИРОВАТЬ;
кIотинабизе;АНЕСТЕЗИРОВАТЬ;
унти лъалареблъун гьабизе;АНЕСТЕЗИРОВАТЬ;
анестезия;АНЕСТЕЗИЯ;
кIотин;АНЕСТЕЗИЯ;
унти лъангутIи;АНЕСТЕЗИЯ;
анилиналъул;АНИЛИНОВЫЙ;
анис;АНИС;
анис;АНИС;
бигъараб мучари;АНИС;
анисалъул;АНИСОВЫЙ;
анкета;АНКЕТА;
анкеталъулаб;АНКЕТНЫЙ;
аннексионистияб;АННЕКСИОНИСТСКИЙ;
хIалица ракь бахъиялъулаб;АННЕКСИОНИСТСКИЙ;
аннексия гьабизе;АННЕКСИРОВАТЬ;
хIалица ракь бахъизе;АННЕКСИРОВАТЬ;
аннексия;АННЕКСИЯ;
хIалица ракь бахъи;АННЕКСИЯ;
аннотация гьабизе;АННОТИРОВАТЬ;
гIамал гьабулареблъун рикIкIине;АННУЛИРОВАТЬ;
хIакъикъияб гуреблъун гьабизе;АННУЛИРОВАТЬ;
хвезабизе;АННУЛИРОВАТЬ;
аномалия;АНОМАЛИЯ;
низам биххи;АНОМАЛИЯ;
низам хвей;АНОМАЛИЯ;
аномалияб;АНОМАЛЬНЫЙ;
низам биххараб;АНОМАЛЬНЫЙ;
низам хвараб;АНОМАЛЬНЫЙ;
аноним;АНОНИМ;
цIаргьечI;АНОНИМ;
анонимка гъоркь цIар хъвачIеб кагъат;АНОНИМКА;
анонимияб;АНОНИМНЫЙ;
цебеккунго лъазабизе;АНОНСИРОВАТЬ;
антагонизм;АНТАГОНИЗМ;
антагонизмалъулаб;АНТАГОНИСТИЧЕСКИЙ;
мурадал данде кколарел;АНТАГОНИСТИЧЕСКИЙ;
Антарктика лъазабулеб;АНТАРКТИЧЕСКИЙ;
антарктикаялъулаб;АНТАРКТИЧЕСКИЙ;
антенна;АНТЕННА;
антеннаялъул;АНТЕННЫЙ;
антеннаялъулаб;АНТЕННЫЙ;
рагъалда данде чIараб;АНТИВОЕННЫЙ;
антиген;АНТИГЕН;
пачалихъалда данде чIараб;АНТИГОСУДАРСТВЕННЫЙ;
демократиялда данде чIараб;АНТИДЕМОКРАТИЧЕСКИЙ;
империализмалда данде чIараб;АНТИИМПЕРИАЛИСТИЧЕСКИЙ;
историялда данде кколареб;АНТИИСТОРИЧЕСКИЙ;
историялда данде чIараб;АНТИИСТОРИЧЕСКИЙ;
историялда рекъолареб;АНТИИСТОРИЧЕСКИЙ;
антиквар;АНТИКВАР;
гIантIикIачи;АНТИКВАР;
некIсияб ва къиматаб;АНТИКВАРНЫЙ;
колониализмалда данде чIараб;АНТИКОЛОНИАЛЬНЫЙ;
коунизмалда данде чIараб;АНТИКОУНИСТИЧЕСКИЙ;
кризисалда данде бугеб;АНТИКРИЗИСНЫЙ;
антилопа;АНТИЛОПА;
жайран;АНТИЛОПА;
марксизмалда данде чIараб;АНТИМАРКСИСТСКИЙ;
материализмалда данде чIараб;АНТИМАТЕРИАЛИСТИЧЕСКИЙ;
