avar_word,russian_translations,english_translations,examples
авиамоделист,АВИАМОДЕЛИСТ,,
авиамоделияб,АВИАМОДЕЛЬНЫЙ,,
авиамодель,АВИАМОДЕЛЬ,,
авиамухъ,АВИАЛИНИЯ,,
авианух,АВИАЛИНИЯ,,
авиапочта,АВИАПОЧТА,,
авиаразведка,АВИАРАЗВЕДКА,,
авиатранспорт,АВИАТРАНСПОРТ,,
авиатрасса,АВИАТРАССА,,
авиация,АВИАЦИЯ,,
авиациялъулаб,АВИАЦИОННЫЙ,,
авитаминоз,АВИТАМИНОЗ,,
авлахъалда салул гохI,БАРХАН,,
австралияв,АВСТРАЛИЕЦ,,
австралияй,АВСТРАЛИЙКА,,
австралиял,АВСТРАЛИЙЦЫ,,
австралиялъулаб,АВСТРАЛИЙСКИЙ,,
австрияв,АВСТРИЕЦ,,
австрияй,АВСТРИЙКА,,
австриял,АВСТРИЙЦЫ,,
австриялъулаб,АВСТРИЙСКИЙ,,
авто-,АВТО-,,
автобаза,АВТОБАЗА,,
автобиография,АВТОБИОГРАФИЯ,,
автобиографиялъул,АВТОБИОГРАФИЧЕСКИЙ,,
автобус,АВТОБУС,,
автобусазул,АВТОБУСНЫЙ,,
автобусалъулаб,АВТОБУСНЫЙ,,
автовокзал,АВТОВОКЗАЛ,,
автогенияб,АВТОГЕННЫЙ,,
автогонщик,АВТОГОНЩИК,,
автограф,АВТОГРАФ,,
автозавод,АВТОЗАВОД,,
автоинспектор,АВТОИНСПЕКТОР,,
автоинспекция,АВТОИНСПЕКЦИЯ,,
автоклуб,АВТОКЛУБ,,
автоколонна,АВТОКОЛОННА,,
автокормушка,АВТОКОРМУШКА,,
автокран,АВТОКРАН,,
автол,АВТОЛ,,
автолавка,АВТОЛАВКА,,
автомагистраль,АВТОМАГИСТРАЛЬ,,
автомат,АВТОМАТ,,
автоматаз хIалтIизабулеб,АВТОМАТИЧЕСКИЙ,,
автоматаз хIалтIизабулеблъун гьабизе,АВТОМАТИЗИРОВАТЬ,,
автоматизация,АВТОМАТИЗАЦИЯ,,
автоматика,АВТОМАТИКА,,
автоматикияб,АВТОМАТИЧЕСКИЙ,,
автоматчи,АВТОМАТЧИК,,
автомашина,АВТОМАШИНА,,
автомашинабазе цIатари,АВТОЗАПРАВОЧНЫЙ,,
автомобилазул,АВТОМОБИЛЬНЫЙ,,
автомобилазул къецазул гIахьалчи,АВТОМОБИЛИСТ,,
автомобилазулгун тракторазул,АВТОТРАКТОРНЫЙ,,
автомобилал гьари,АВТОМОБИЛЕСТРОЕНИЕ,,
автомобилал къачIалеб,АВТОРЕМОНТНЫЙ,,
автомобилал риччай,АВТОПРОБЕГ,,
автомобилал хирияв чи,АВТОЛЮБИТЕЛЬ,,
автомобилалъул,АВТОМОБИЛЬНЫЙ,,
автомобилист,АВТОМОБИЛИСТ,,
автомобиль,АВТОМОБИЛЬ,,
автомотоклуб,АВТОМОТОКЛУБ,,
автономия,АВТОНОМИЯ,,
автономияб,АВТОНОМНЫЙ,,
автопарк,АВТОПАРК,,
автопилот,АВТОПИЛОТ,,
автоплуг,АВТОПЛУГ,,
автопогрузчик,АВТОПОГРУЗЧИК,,
автопоезд нахъа бараб машина,АВТОПОЕЗД,,
автопоилка,АВТОПОИЛКА,,
автопокрышка,АВТОПОКРЫШКА,,
автопортрет,АВТОПОРТРЕТ,,
автор,АВТОР,,
авторалли,АВТОРАЛЛИ,,
авторасул,АВТОРСКИЙ,,
авторасулаб,АВТОРСКИЙ,,
автореферат,АВТОРЕФЕРАТ,,
авторефрижератор,АВТОРЕФРИЖЕРАТОР,,
авторлъи,АВТОРСТВО,,
авторуссун,АВТОКОРМУШКА,,
авторучка,АВТОРУЧКА,,
автостоп,АВТОСТОП,,
автострада,АВТОСТРАДА,,
автотранспорт,АВТОТРАНСПОРТ,,
автотрасса,АВТОТРАССА,,
автотукен,АВТОЛАВКА,,
автотуризм,АВТОТУРИЗМ,,
агглютинативияб,АГГЛЮТИНАТИВНЫЙ,,
агглютинация,АГГЛЮТИНАЦИЯ,,
агент,АГЕНТ,,
агентал  жасусал,АГЕНТУРА,,
агентство,АГЕНТСТВО,,
агентура,АГЕНТУРА,,
агентурияб,АГЕНТУРНЫЙ,,
агитатор,АГИТАТОР,,
агитаторлъиялъулаб,АГИТАТОРСКИЙ,,
агитация,АГИТАЦИЯ,,
агитация гьабизе  кантIизавизе,АГИТИРОВАТЬ,,
агитация гьабулеб пункт,АГИТПУНКТ,,
агитация гьабулебколлектив,АГИТКОЛЛЕКТИВ,,
агитациялъул,АГИТАЦИОННЫЙ,,
агитбригада,АГИТБРИГАДА,,
агитколлектив,АГИТКОЛЛЕКТИВ,,
агитпункт,АГИТПУНКТ,,
агностицизм,АГНОСТИЦИЗМ,,
аграрияб,АГРАРНЫЙ,,
агрегат,АГРЕГАТ,,
агрессия,АГРЕССИЯ,,
агрессор,АГРЕССОР,,
агробиология,АГРОБИОЛОГИЯ,,
агробиологияб,АГРОБИОЛОГИЧЕСКИЙ,,
агроном,АГРОНОМ,,
агрономия,АГРОНОМИЯ,,
агрономияб,АГРОНОМИЧЕСКИЙ,,
агротехник,АГРОТЕХНИК,,
агротехника,АГРОТЕХНИКА,,
агротехникияб,АГРОТЕХНИЧЕСКИЙ,,
агрохимикияб,АГРОХИМИЧЕСКИЙ,,
агрохимия,АГРОХИМИЯ,,
агул,АГУЛЬСКИЙ,,
агулав,АГУЛЕЦ,,
агулазул,АГУЛЬСКИЙ,,
агулай,АГУЛКА,,
агулал,АГУЛЬЦЫ,,
агульцы,АГУЛЫ,,
агь,АХ,,
адаб-хъатир гьечIеб,АМОРАЛЬНЫЙ,,
адаб-хъатир гьечIолъи,АМОРАЛЬНОСТЬ,,
адаптация,АДАПТАЦИЯ,,
адаптер кьезе бугеб алат,АДАПТЁР,,
адвокат,АДВОКАТ,,
адвокатал  адвокатлъи,АДВОКАТУРА,,
аджар,АДЖАРСКИЙ,,
аджарав,АДЖАРЕЦ,,
аджаразул,АДЖАРСКИЙ,,
аджарай,АДЖАРКА,,
аджарал,АДЖАРЦЫ,,
аджика нигIмат,АДЖИКА,,
административияб,АДМИНИСТРАТИВНЫЙ,,
административияб къагIидаялъ иш билълъанхъизабизе,АДМИНИСТРИРОВАТЬ,,
администратор,АДМИНИСТРАТОР,,
администрация,АДМИНИСТРАЦИЯ,,
адмирал,АДМИРАЛ,,
адрес,АДРЕС,,
адресазулаб,АДРЕСНЫЙ,,
адресалда балагьизабизе,АДРЕСОВАТЬ,,
адресалда битIизе,АДРЕСОВАТЬ,,
адресат,АДРЕСАТ,,
адъютант,АДЪЮТАНТ,,
адыгав,АДЫГЕЕЦ,,
адыгазул,АДЫГЕЙСКИЙ,,
адыгазулаб,АДЫГЕЙСКИЙ,,
адыгай,АДЫГЕЙКА,,
адыгал,АДЫГЕЙЦЫ,,
ажур,АЖУР,,
азбука,АЗБУКА,,
азбукалъулаб,АЗБУЧНЫЙ,,
азербайжанав,АЗЕРБАЙДЖАНЕЦ,,
азербайжаназул,АЗЕРБАЙДЖАНСКИЙ,,
азербайжаназулаб,АЗЕРБАЙДЖАНСКИЙ,,
азербайжанай,АЗЕРБАЙДЖАНКА,,
азербайжанал,АЗЕРБАЙДЖАНЦЫ,,
азот,АЗОТ,,
азотияб,АЗОТНЫЙ,,
айран,АЙРАН,,
айсберг,АЙСБЕРГ,,
академик,АКАДЕМИК,,
академия,АКАДЕМИЯ,,
академиялъулаб,АКАДЕМИЧЕСКИЙ,,
акация,АКАЦИЯ,,
акваланг,АКВАЛАНГ,,
аквалангист,АКВАЛАНГИСТ,,
аквалангистка,АКВАЛАНГИСТКА,,
акванавт,АКВАНАВТ,,
акварелалъулаб,АКВАРЕЛЬНЫЙ,,
акварель,АКВАРЕЛЬ,,
аквариум,АКВАРИУМ,,
акватория,АКВАТОРИЯ,,
аккомпанемент,АККОМПАНЕМЕНТ,,
аккомпаниатор,АККОМПАНИАТОР,,
аккорд,АККОРД,,
аккордеон,АККОРДЕОН,,
аккордеонист,АККОРДЕОНИСТ,,
аккордеонистка,АККОРДЕОНИСТКА,,
аккордияб,АККОРДНЫЙ,,
аккредитив,АККРЕДИТИВ,,
аккредитивияб,АККРЕДИТИВНЫЙ,,
аккумулятор,АККУМУЛЯТОР,,
аккумуляторалъул,АККУМУЛЯТОРНЫЙ,,
акр,АКР,,
акробат,АКРОБАТ,,
акробатика,АКРОБАТИКА,,
акробатикаялъул,АКРОБАТИЧЕСКИЙ,,
акробатка,АКРОБАТКА,,
акрополь,АКРОПОЛЬ,,
акселератор,АКСЕЛЕРАТОР,,
аксиома,АКСИОМА,,
акт,АКТ,,
акт гьабизе,АКТВИРОВАТЬ,,
актер,АКТЁР,,
актерасулаб,АКТЁРСКИЙ,,
актерлъиялъулаб,АКТЁРСКИЙ,,
актив,АКТИВ,,
актив,АКТИВ,,
актиний,АКТИНИЙ,,
актриса,АКТРИСА,,
акула,АКУЛА,,
акулаялъул,АКУЛИЙ,,
акустика 1 гьаркьил хIакъалъулъ бугеб гIелму,АКУСТИКА,,
акустикияб,АКУСТИЧЕСКИЙ,,
акушерасул,АКУШЕРСКИЙ,,
акушерка,АКУШЕРКА,,
акушерлъи,АКУШЕРСТВО,,
акушерлъиялъулаб,АКУШЕРСКИЙ,,
акцент,АКЦЕНТ,,
акцент бугеб,АКЦЕНТНЫЙ,,
акценталъулаб,АКЦЕНТНЫЙ,,
акционер,АКЦИОНЕР,,
акционерияб,АКЦИОНЕРНЫЙ,,
акция,АКЦИЯ,,
акция,АКЦИЯ,,
акциязул бетIергьан,АКЦИОНЕР,,
акын,АКЫН,,
аланал некIсияб цIар,АЛАНЫ,,
албанияв,АЛБАНЕЦ,,
албаниязул,АЛБАНИЯЛЪУЛ,,
албанияй,АЛБАНКА,,
албаниял,АЛБАНЦЫ,,
алгебра,АЛГЕБРА,,
алгебраялъулаб,АЛГЕБРАИЧЕСКИЙ,,
алгоритм,АЛГОРИТМ,,
алебастр,АЛЕБАСТР,,
алебастралъул,АЛЕБАСТРОВЫЙ,,
алжирав,АЛЖИРЕЦ,,
алжирай жазаирай,АЛЖИРКА,,
алиби,АЛИБИ,,
алиментал,АЛИМЕНТЫ,,
алиф,АЛФАВИТ,,
алиф  букварь,АЗБУКА,,
алкалоид,АЛКАЛОИД,,
алкоголизм,АЛКОГОЛИЗМ,,
алкоголик,АЛКОГОЛИК,,
алкоголияб,АЛКОГОЛЬНЫЙ,,
алкоголь,АЛКОГОЛЬ,,
аллагьгьечI,АТЕИСТ,,
аллегория,АЛЛЕГОРИЯ,,
аллегория гъорлъ бугеб,АЛЛЕГОРИЧНЫЙ,,
аллергия,АЛЛЕРГИЯ,,
аллергиялъулаб,АЛЛЕРГИЧЕСКИЙ,,
аллея,АЛЛЕЯ,,
аллитерация,АЛЛИТЕРАЦИЯ,,
алло,АЛЛО,,
аллюр,АЛЛЮР,,
алмаз,АЛМАЗ,,
алмазалъулаб,АЛМАЗНЫЙ,,
алмас,АЛМАЗ,,
алогизм,АЛОГИЗМ,,
алоэ,АЛОЭ,,
алтаяв,АЛТАЕЦ,,
алтаяй,АЛТАЙКА,,
алтаял,АЛТАЙЦЫ,,
алтаялъулаб,АЛТАЙСКИЙ,,
алфавит,АЛФАВИТ,,
алфавиталъулаб,АЛФАВИТНЫЙ,,
алхимих,АЛХИМИК,,
алхимия,АЛХИМИЯ,,
алхинчIого,АККУРАТНО,,
алхунареб  узданаб,АККУРАТНЫЙ,,
альбатрос,АЛЬБАТРОС,,
альбом,АЛЬБОМ,,
альманах,АЛЬМАНАХ,,
альпинизм,АЛЬПИНИЗМ,,
альпинист,АЛЬПИНИСТ,,
альпинистазулаб,АЛЬПИНИСТСКИЙ,,
альпинистасулаб,АЛЬПИНИСТСКИЙ,,
альпинистка,АЛЬПИНИСТКА,,
альт дагьаб кIудияб гьелдаго релълъараб музыкаялъулаб алат,АЛЬТ,,
альтернатива,АЛЬТЕРНАТИВА,,
альтист,АЛЬТИСТ,,
альтруизм,АЛЬТРУИЗМ,,
альтруист,АЛЬТРУИСТ,,
альтруистияб,АЛЬТРУИСТИЧЕСКИЙ,,
альтруистка,АЛЬТРУИСТКА,,
альтчи,АЛЬТИСТ,,
альфа,АЛЬФА,,
алюминий,АЛЮМИНИЙ,,
алюминиялъул,АЛЮМИНИЕВЫЙ,,
амальгама,АМАЛЬГАМА,,
амбар,АМБАР,,
амбаралъул,АМБАРНЫЙ,,
амбразура,АМБРАЗУРА,,
амбулатория унтаразе дару гьабулеб учреждение,АМБУЛАТОРИЯ,,
амбулаториялъулаб,АМБУЛАТОРНЫЙ,,
амеба,АМЁБА,,
американав,АМЕРИКАНЕЦ,,
американазул,АМЕРИКАНСКИЙ,,
американай,АМЕРИКАНКА,,
американал,АМЕРИКАНЦЫ,,
америкаялъулаб,АМЕРИКАНСКИЙ,,
аметист,АМЕТИСТ,,
аметисталъул,АМЕТИСТОВЫЙ,,
амиак,АМИАК,,
амиакалъул,АМИАЧНЫЙ,,
амиакалъулаб,АМИАЧНЫЙ,,
амнистия,АМНИСТИЯ,,
амнистия гьаби,АМНИСТИРОВАНИЕ,,
амнистия гьабизе,АМНИСТИРОВАТЬ,,
амонал,АМОНАЛ,,
амоний,АМОНИЙ,,
амортизатор,АМОРТИЗАТОР,,
амортизация,АМОРТИЗАЦИЯ,,
амортизация гьабизе,АМОРТИЗИРОВАТЬ,,
амортизациялъулаб,АМОРТИЗАЦИОННЫЙ,,
аморфияб,АМОРФНЫЙ,,
аморфлъи,АМОРФНОСТЬ,,
ампер,АМПЕР,,
амперметр,АМПЕРМЕТР,,
ампир,АМПИР,,
амплитуда,АМПЛИТУДА,,
амплуа,АМПЛУА,,
ампула,АМПУЛА,,
ампутация гьабизе,АМПУТИРОВАТЬ,,
ампутация унтараб лага къотIун нахъе рехи,АМПУТАЦИЯ,,
ампутациялъул,АМПУТАЦИОННЫЙ,,
амфибия,АМФИБИЯ,,
амфибрахий,АМФИБРАХИЙ,,
амфитеатр,АМФИТЕАТР,,
анабиоз,АНАБИОЗ,,
анаграа,АНАГРАА,,
анализ,АНАЛИЗ,,
анализ гьабизе,АНАЛИЗИРОВАТЬ,,
анализ методалда рекъараб,АНАЛИТИЧЕСКИЙ,,
анализалъулаб,АНАЛИТИЧЕСКИЙ,,
аналитик,АНАЛИТИК,,
аналитикияб,АНАЛИТИЧЕСКИЙ,,
ананас,АНАНАС,,
ананасалъул,АНАНАСНЫЙ,,
ананасовый,АНАНАСНЫЙ,,
анапест,АНАПЕСТ,,
анархизм,АНАРХИЗМ,,
анархист,АНАРХИСТ,,
анархистазул,АНАРХИСТСКИЙ,,
анархистияб,АНАРХИСТСКИЙ,,
анархистка,АНАРХИСТКА,,
анархия,АНАРХИЯ,,
анархияб,АНАРХИЧНЫЙ,,
анархиялъулаб,АНАРХИЧЕСКИЙ,,
анатом,АНАТОМ,,
анатомия,АНАТОМИЯ,,
анатомиялъулаб,АНАТОМИЧЕСКИЙ,,
анахронизм,АНАХРОНИЗМ,,
ангар,АНГАР,,
ангидрид,АНГИДРИД,,
ангина,АНГИНА,,
анекдот,АНЕКДОТ,,
анекдотияб,АНЕКДОТИЧЕСКИЙ,,
анемия,АНЕМИЯ,,
анероид,АНЕРОИД,,
анестезиолог,АНЕСТЕЗИОЛОГ,,
анестезиология,АНЕСТЕЗИОЛОГИЯ,,
анестезия,АНЕСТЕЗИЯ,,
анестезия гьабизе,АНЕСТЕЗИРОВАТЬ,,
анилин,АНИЛИН,,
анилиналъул,АНИЛИНОВЫЙ,,
анималист,АНИМАЛИСТ,,
анимизм,АНИМИЗМ,,
анис,АНИС,,
анисалъул,АНИСОВЫЙ,,
анкаралъулаб,АНГОРСКИЙ,,
анкета,АНКЕТА,,
анкеталъулаб,АНКЕТНЫЙ,,
аннексионистияб,АННЕКСИОНИСТСКИЙ,,
аннексия,АННЕКСИЯ,,
аннексия гьабизе,АННЕКСИРОВАТЬ,,
аннотация,АННОТАЦИЯ,,
аннотация гьабизе,АННОТИРОВАТЬ,,
анод,АНОД,,
анодияб,АНОДНЫЙ,,
аномалия,АНОМАЛИЯ,,
аномалияб,АНОМАЛЬНЫЙ,,
аноним,АНОНИМ,,
анонимияб,АНОНИМНЫЙ,,
анонимка гъоркь цIар хъвачIеб кагъат,АНОНИМКА,,
анонс,АНОНС,,
ансамбль,АНСАМБЛЬ,,
антагонизм,АНТАГОНИЗМ,,
антагонизмалъулаб,АНТАГОНИСТИЧЕСКИЙ,,
антарктикаялъулаб,АНТАРКТИЧЕСКИЙ,,
антенна,АНТЕННА,,
антеннаялъул,АНТЕННЫЙ,,
антеннаялъулаб,АНТЕННЫЙ,,
антибиотикал,АНТИБИОТИКИ,,
антиквар,АНТИКВАР,,
антилопа,АНТИЛОПА,,
антисемит,АНТИСЕМИТ,,
антисемитизм,АНТИСЕМИТИЗМ,,
антисемитизмалъулаб,АНТИСЕМИТСКИЙ,,
антисемитияб,АНТИСЕМИТСКИЙ,,
антисемитлъи,АНТИСЕМИТИЗМ,,
антисептика,АНТИСЕПТИКА,,
антисептикияб,АНТИСЕПТИЧЕСКИЙ,,
антитеза,АНТИТЕЗА,,
антитезис,АНТИТЕЗИС,,
антитоксинал,АНТИТОКСИНЫ,,
антифриз,АНТИФРИЗ,,
антициклон,АНТИЦИКЛОН,,
античастица,АНТИЧАСТИЦА,,
антология,АНТОЛОГИЯ,,
антоним,АНТОНИМ,,
антоновка,АНТОНОВКА,,
антракт,АНТРАКТ,,
антрацит,АНТРАЦИТ,,
антрациталъул,АНТРАЦИТОВЫЙ,,
антресоли,АНТРЕСОЛИ,,
антрополог,АНТРОПОЛОГ,,
антропология,АНТРОПОЛОГИЯ,,
антропологиялъулаб,АНТРОПОЛОГИЧЕСКИЙ,,
антропоморфизм хасияталлъун рихьизари,АНТРОПОМОРФИЗМ,,
анфас,АНФАС,,
аншлаг,АНШЛАГ,,
аорта,АОРТА,,
апартеид,АПАРТЕИД,,
апатит,АПАТИТ,,
апатиталъулаб,АПАТИТОВЫЙ,,
апелляция  хитIаб,АПЕЛЛЯЦИЯ,,
апелляция гьабизе  к кому-чему хитIаб гьабизе,АПЕЛЛИРОВАТЬ,,
апелляция кьезе,АПЕЛЛИРОВАТЬ,,
апелляциялъулаб,АПЕЛЛЯЦИОННЫЙ,,
апельсин,АПЕЛЬСИН,,
апельсиналъул,АПЕЛЬСИННЫЙ,,
апельсиновый,АПЕЛЬСИННЫЙ,,
апломб,АПЛОМБ,,
апогей  завал,АПОГЕЙ,,
апологет,АПОЛОГЕТ,,
апоплексия,АПОПЛЕКСИЯ,,
апоплексиялда бухьараб,АПОПЛЕКСИЧЕСКИЙ,,
апоплексиялъул,АПОПЛЕКСИЧЕСКИЙ,,
апостроф,АПОСТРОФ,,
апофеоз цIакъго машгьурлъизаби,АПОФЕОЗ,,
аппарат,АППАРАТ,,
аппаратал,АППАРАТУРА,,
аппараталъулаб  ~ая,АППАРАТНЫЙ,,
аппаратная,АППАРАТНЫЙ,,
аппаратура,АППАРАТУРА,,
аппендикс,АППЕНДИКС,,
аппендицит,АППЕНДИЦИТ,,
аппликация,АППЛИКАЦИЯ,,
апрелалъул,АПРЕЛЬСКИЙ,,
апрелалъулаб,АПРЕЛЬСКИЙ,,
апрель,АПРЕЛЬ,,
априори,АПРИОРИ,,
априорияб,АПРИОРНЫЙ,,
апробация,АПРОБАЦИЯ,,
аптека,АПТЕКА,,
аптекарь,АПТЕКАРЬ,,
аптекаялъулаб,АПТЕКАРСКИЙ,,
аптечка,АПТЕЧКА,,
аранжировка гьабизе,АРАНЖИРОВАТЬ,,
аранжировка цогидал алатаз бачине рекъезаби,АРАНЖИРОВКА,,
арапник,АРАПНИК,,
арахис,АРАХИС,,
арахисалъул,АРАХИСОВЫЙ,,
арбитр,АРБИТР,,
арбитраж,АРБИТРАЖ,,
арбитражалъулаб,АРБИТРАЖНЫЙ,,
аргон,АРГОН,,
аргъан,БАЯН,,
аргъан хъвалев чи,БАЯНИСТ,,
аргъанчи,БАЯНИСТ,,
арена,АРЕНА,,
ареометр,АРЕОМЕТР,,
арестовать,АРЕСТОВЫВАТЬ,,
аристократ,АРИСТОКРАТ,,
аристократазе хасиятаб хьвада-чIвади,АРИСТОКРАТИЗМ,,
аристократазулаб,АРИСТОКРАТИЧЕСКИЙ,,
аристократия,АРИСТОКРАТИЯ,,
аристократияб,АРИСТОКРАТИЧЕСКИЙ,,
аристократка,АРИСТОКРАТКА,,
арифметика,АРИФМЕТИКА,,
арифметикаялъул,АРИФМЕТИЧЕСКИЙ,,
арифмометр,АРИФМОМЕТР,,
ария,АРИЯ,,
аркан,АРКАН,,
арктикаялъул,АРКТИЧЕСКИЙ,,
арматура,АРМАТУРА,,
арматураялъул,АРМАТУРНЫЙ,,
арматурщик,АРМАТУРЩИК,,
армеец,АРМЕЕЦ,,
армия,АРМИЯ,,
армиялъул,АРМЕЙСКИЙ,,
ароматичный,АРОМАТИЧЕСКИЙ,,
ароматный,АРОМАТИЧЕСКИЙ,,
арсенал,АРСЕНАЛ,,
артезиан,АРТЕЗИАНСКИЙ,,
артезианалъулаб,АРТЕЗИАНСКИЙ,,
артелалъулаб,АРТЕЛЬНЫЙ,,
артель,АРТЕЛЬ,,
артериосклероз,АРТЕРИОСКЛЕРОЗ,,
артерия  улкаялъе цIикIкIун кIвар бугел нухал,АРТЕРИЯ,,
артериялъулаб,АРТЕРИАЛЬНЫЙ,,
артикуляция,АРТИКУЛЯЦИЯ,,
артиллерист,АРТИЛЛЕРИСТ,,
артиллерия,АРТИЛЛЕРИЯ,,
артиллериялда вугев рагъухъан,АРТИЛЛЕРИСТ,,
артиллериялъулаб,АРТИЛЛЕРИЙСКИЙ,,
артист  махщелчи,АРТИСТ,,
артистасулаб  махщалилаб,АРТИСТИЧЕСКИЙ,,
артистка,АРТИСТКА,,
арфа,АРФА,,
арфистка,АРФИСТКА,,
архаизм,АРХАИЗМ,,
археолог,АРХЕОЛОГ,,
археология,АРХЕОЛОГИЯ,,
археологиялъулаб,АРХЕОЛОГИЧЕСКИЙ,,
архив,АРХИВ,,
архивалъул,АРХИВНЫЙ,,
архивалъулаб,АРХИВНЫЙ,,
архивариус,АРХИВАРИУС,,
архивист,АРХИВИСТ,,
архиепископ,АРХИЕПИСКОП,,
архиерей,АРХИЕРЕЙ,,
архимандрит,АРХИМАНДРИТ,,
архипелаг,АРХИПЕЛАГ,,
архитектор,АРХИТЕКТОР,,
архитектура,АРХИТЕКТУРА,,
архитектурияб,АРХИТЕКТУРНЫЙ,,
арьергард,АРЬЕРГАРД,,
арьергардалъул,АРЬЕРГАРДНЫЙ,,
арьергардалъулаб,АРЬЕРГАРДНЫЙ,,
асбест,АСБЕСТ,,
асбесталъул,АСБЕСТОВЫЙ,,
асиетричный,АСИЕТРИЧЕСКИЙ,,
асиетрия,АСИЕТРИЯ,,
аскар,АРМИЯ,,
аскарида,АСКАРИДА,,
аскарияб,АРМЕЙСКИЙ,,
аскарияв,АРМЕЕЦ,,
аскет,АСКЕТ,,
аскетасулаб,АСКЕТИЧЕСКИЙ,,
аскетизм,АСКЕТИЗМ,,
аскетлъи,АСКЕТИЗМ,,
аскетлъиялъулаб,АСКЕТИЧЕСКИЙ,,
аслияб,БАЗОВЫЙ,,
аслияб,БАЗИСНЫЙ,,
аслуяб,БАЗИСНЫЙ,,
аслуяб,БАЗОВЫЙ,,
аспект,АСПЕКТ,,
аспид,АСПИД,,
аспирант,АСПИРАНТ,,
аспирантка,АСПИРАНТКА,,
аспирантура,АСПИРАНТУРА,,
аспирин,АСПИРИ Н,,
ассамблея,АССАМБЛЕЯ,,
ассенизатор,АССЕНИЗАТОР,,
ассенизация,АССЕНИЗАЦИЯ,,
ассенизациялъулаб,АССЕНИЗАЦИОННЫЙ,,
ассигнация,АССИГНАЦИЯ,,
ассимиляция,АССИМИЛЯЦИЯ,,
ассистент,АССИСТЕНТ,,
ассистентасул,АССИСТЕНТСКИЙ,,
ассистентасулаб,АССИСТЕНТСКИЙ,,
ассистентка,АССИСТЕНТКА,,
ассортимент,АССОРТИМЕНТ,,
ассоциация,АССОЦИАЦИЯ,,
астения,АСТЕНИЯ,,
астероид,АСТЕРОИД,,
астигматизм,АСТИГМАТИЗМ,,
астма,АСТМА,,
астмаялъулаб,АСТМАТИЧЕСКИЙ,,
астра,АСТРА,,
астролог,АСТРОЛОГ,,
